"ID"|"UKCPVS ID"|"Date collected"|"Name/Collector"|"Company"|"Country"|"County"|"Town"|"Postal code"|"GPS"|"Further Location information"|"Rust (YR/SR/LR)"|"Host"|"Variety"|"KASP assays? (Selected/In progress/Completed/Failed)"|"RNA-seq? (Selected/In progress/Completed/Failed)"|"Library name"|"Public comments"|"Private comments"
"14.0002"||12/06/2014|"Tilman - A"|"BASF"|"Czech Republic"||"Rokytnice"|"CZ6 751 04"||"Trial site of BASF Rokytnice - CZ6 751 04 Rokytnice"|"YR"|"Wheat"|"Tilman"|"Completed"|"Completed"|"LIB10869"||"vaclav.sklenar@basf.com"
"14.0008"||19/05/2014|"Susanne Kirchmaier"|"Raiffeisen Ware Austria RWA AG"|"Austria"||||"48,098662, 14,901602"|"2301 GroB Enzersdorf 48,098662, 14,901602 Austria"|"YR"|"Wheat"|"Sax"||"Completed"|"LIB10875"||"via Alison NIAB"
"14.0009"||22/05/2014|"Susanne Kirchmaier"|"Raiffeisen Ware Austria RWA AG"|"Austria"||||"48,098662, 14.901602"|"3300 GieBhubl 48,098662, 14.901602 Austria "|"YR"|"Wheat"|"Sax"||"Completed"|"LIB10876"||"via Alison NIAB"
"14.0019"|"14/20"|07/03/2014|"Amelia Hubbard"|"NIAB"|"UK"||||||"YR"|"Wheat"|"Panorama"||"Completed"|"LIB10884"||"14/20"
"14.0020"|"14/21"|07/03/2014|"Amelia Hubbard"|"NIAB"|"UK"||||||"YR"|"Wheat"|"Target"||"Completed"|"LIB10885"||"14/21"
"14.0021"|"14/22"|18/03/2014|"Amelia Hubbard"|"NIAB"|"UK"||||||"YR"|"Wheat"|"Victo mix"||"Completed"|"LIB10886"||"14/22"
"14.0022"|"14/23"|"-"|"Amelia Hubbard"|"NIAB"|"UK"||||||"YR"|"Wheat"|"Victo mix"||"Completed"|||"14/23"
"14.0023"|"14/24"|"-"|"Amelia Hubbard"|"NIAB"|"UK"||||||"YR"|"Wheat"|"Cocoon"||"Completed"|"LIB10887"||"14/24"
"14.0046"||25/06/2014|"Hamon"|"BASF"|"France"||"BUCY SAINT LIPHARD"|||"BASF Agro, La Corbilliere, Route de Saint Peravy, 45140 BUCY SAINT LIPHARD"|"YR"|"Wheat"|"Hysun"|"Completed"|"Completed"|"LIB10903"||
"14.0047"||25/06/2014|"Hamon"|"BASF"|"France"||"BUCY SAINT LIPHARD"|||"BASF Agro, La Corbilliere, Route de Saint Peravy, 45140 BUCY SAINT LIPHARD"|"YR"|"Wheat"|"Karur"|"Completed"|"Completed"|"LIB10904"||
"14.0049"||17/06/2014|2|"BASF"|"Poland"|||||"46-113"|"YR"|"Wheat"|"Zeppelin"|"Completed"|"Failed"|"LIB14890"||
"14.0050"||15/06/2014|3|"BASF"|"Poland"|||||"48-210"|"YR"|"Wheat"||"Completed"||||
"14.0069"||11/06/2014|"Todor Manslov"|"BASF"|"Bulgaria"||||" N:42 609769 E-23 579836"|"BG; 2210 Novi Han N:42 609769 E-23 579836"|"YR"|"Wheat"|"Enola"|"Completed"|"Completed"|"LIB12424"|"Leaf"|
"14.0070"||12/06/2014|"Dimithger Kuymuzhisev"|"BASF"|"Bulgaria"||||"N 45.3111.6 E 27.49.01.3"|"BG; 9300 Dobrick N 45.3111.6 E 27.49.01.3"|"YR"|"Wheat"|"Enola"|"Completed"|||"Piece of ear"|
"14.0071"||15/06/2014|"Todor Manslov"|"BASF"|"Bulgaria"||||"N: 42 048082 E: 24.12293"|"BG: 4641 Dorkovo N: 42 048082 E: 24.12293"|"YR"|"Wheat"|"Enola"|"Completed"|||"Piece of ear"|
"14.0072"||03/07/2014|"Pedro Liberol"|"BASF"|"Spain"||||"42 35 56,67 N 1 38 12/31 W"|"Paligono = 2; Parcela = 57. GARINOAIN (Navarra). 42 35 56,67 N 1 38 12/31 W"|"YR"|"Wheat"|"Trigo CAMARGO"|"Completed"|"Completed"|"LIB12425"||"Large uncut leaf samples - not well covered in RNA later"
"14.0073"||04/07/2014|"Felix Ibirien"|"BASF"|"Spain"||||"42 21 7,13 N 1 40 28,62 W"|"Paligono = 8; Porcela = 1091. CAPARROSO (Navarra). 42 21 7,13 N 1 40 28,62 W"|"YR"|"Wheat"|"Trigo CAMARGO"|"Completed"|"Failed"|"LIB12426"||"Large uncut leaf samples - not well covered in RNA later"
"14.0074"||03/07/2014|"Ebrencio Guinea"|"BASF"|"Spain"||||" 42 48 50 N 03 03 54 W"|"Paligo = 13; Parcela = 122. ESPESO (ALAVA). 42 48 50 N 03 03 54 W"|"YR"|"Wheat"|"TRIGO PALEDOR"|"Completed"|"Failed"|"LIB12427"||"Large uncut leaf samples - not well covered in RNA later"
"14.0075"||03/07/2014|"Mario Perez Carro"|"BASF"|"Spain"||||" 42 42 12 N 03 00 43 W"|"Poligono = 408; Porcela = 331. SUZANA (Burgos). 42 42 12 N 03 00 43 W"|"YR"|"Wheat"|"TRIGO PALEDOR"|"Completed"|"Failed"|"LIB12428"||"Large uncut leaf samples - not well covered in RNA later"
"14.0083"||28/05/2014|"Prochnow"|"BASF"|"Germany"||"Bohl-Iggelheim"||||"YR"|"Wheat"|"Akteur"|"Completed"|"Failed"|"LIB12436"||
"14.0085"||03/06/2014|"Prochnow"|"BASF"|"Germany"||"Groitzsch"||||"YR"|"Wheat"|"Akteur"|"Completed"|"Completed"|"LIB12438"||
"14.0099"||24/05/2014|"Dario"|"-"|"Romania"|||||"-"|"YR"|"Wheat"|||"Completed"|"LIB12452"||"Received leaves - we then put them in RNA later. Two samples taken - this is sample 1: Alison NIAB contact?"
"14.0100"||24/05/2014|"Dario"|"-"|"Romania"|||||"-"|"YR"|"Wheat"||||||"Above. This is sample 2."
"14.0113"||11/06/2014|"Claude Pope"|"INRA"|"France"|||||"France - 85"|"YR"|"Durum Wheat"|"Luminur"||||"J14542 - repeat of above"|
"14.0114"||"July 2014"|"Viktor"|"KWS"|"Germany"||"Werbig"|||"Werbig"|"YR"|"Rye"||||||
"14.0115"||"July 2014"|"Viktor"|"KWS"|"Germany"||"Werbig"|||"Werbig"|"YR"|"Rye"|||"Completed"|"LIB12457"||"repeat of above"
"14.0122"||"July 2014"|"Viktor"|"KWS"|"Germany"||"Werbig"|||"Werbig"|"YR"|"Rye"||||||"repeat of above"
"14.0125"||"July 2014"|"Viktor"|"KWS"|"Germany"||"Werbig"|||"Werbig"|"YR"|"Rye"||||||"repeat of above"
"14.0127"|"14/602"|Jul-14||"Agrii"|"UK"||||||"YR"|"Wheat"|"Vuka"||"Completed"|"LIB12460"||"NIAB: 14/602"
"14.0129"|"14/121"|23/06/2014||"NIAB"|"UK"|"Hampshire"|" Broughton"|"S020 8DS"||"Hampshire, Broughton, S020 8DS"|"YR"|"Wheat"|"Panacea"||"Completed"|"LIB12462"||"NIAB: 14/121"
"14.0133"|"14/125"|23/06/2014||"NIAB"|"UK"|"East Lothian"|" East lothian"|" EH41 4JR"||"Gilchriston farm, Nr Humbie, East lothian, EH41 4JR"|"YR"|"Wheat"|"Icon"|||||"NIAB: 14/125"
